사번,년월,초과근무시간
E0001,2025-01,14.7
E0001,2025-02,13.8
E0001,2025-03,16.4
E0001,2025-04,17.4
E0001,2025-05,12.4
E0001,2025-06,11.9
E0001,2025-07,12.9
E0001,2025-08,12.6
E0001,2025-09,11.3
E0001,2025-10,19.1
E0001,2025-11,18.0
E0001,2025-12,11.3
E0001,2026-01,17.5
E0001,2026-02,14.8
E0001,2026-03,15.9
E0002,2025-01,19.7
E0002,2025-02,17.8
E0002,2025-03,18.6
E0002,2025-04,19.2
E0002,2025-05,13.1
E0002,2025-06,11.1
E0002,2025-07,19.1
E0002,2025-08,17.5
E0002,2025-09,18.2
E0002,2025-10,16.5
E0002,2025-11,19.0
E0002,2025-12,12.3
E0002,2026-01,14.2
E0002,2026-02,12.3
E0002,2026-03,17.9
E0003,2025-01,29.0
E0003,2025-02,18.7
E0003,2025-03,25.9
E0003,2025-04,27.0
E0003,2025-05,21.5
E0003,2025-06,34.0
E0003,2025-07,28.5
E0003,2025-08,25.9
E0003,2025-09,36.4
E0003,2025-10,29.8
E0003,2025-11,30.3
E0003,2025-12,27.9
E0004,2025-01,6.4
E0004,2025-02,9.3
E0004,2025-03,0.0
E0004,2025-04,1.0
E0004,2025-05,2.5
E0004,2025-06,0.0
E0004,2025-07,10.4
E0004,2025-08,5.4
E0004,2025-09,13.1
E0004,2025-10,7.4
E0004,2025-11,4.8
E0004,2025-12,7.7
E0004,2026-01,17.4
E0004,2026-02,15.0
E0004,2026-03,22.8
E0005,2025-01,21.6
E0005,2025-02,16.2
E0005,2025-03,22.2
E0005,2025-04,21.6
E0005,2025-05,14.9
E0005,2025-06,15.2
E0005,2025-07,15.0
E0005,2025-08,12.3
E0005,2025-09,11.2
E0005,2025-10,15.2
E0005,2025-11,7.4
E0005,2025-12,12.6
E0005,2026-01,11.5
E0005,2026-02,15.2
E0005,2026-03,18.1
E0006,2025-01,20.6
E0006,2025-02,13.1
E0006,2025-03,23.8
E0006,2025-04,21.0
E0006,2025-05,26.0
E0006,2025-06,26.9
E0006,2025-07,21.6
E0006,2025-08,16.2
E0006,2025-09,12.0
E0006,2025-10,12.7
E0006,2025-11,26.5
E0006,2025-12,12.6
E0006,2026-01,18.0
E0006,2026-02,15.8
E0006,2026-03,15.4
E0007,2025-01,11.3
E0007,2025-02,16.9
E0007,2025-03,8.6
E0007,2025-04,17.4
E0007,2025-05,11.9
E0007,2025-06,13.0
E0007,2025-07,11.0
E0007,2025-08,8.4
E0007,2025-09,14.9
E0007,2025-10,14.4
E0007,2025-11,15.1
E0007,2025-12,16.2
E0007,2026-01,14.2
E0007,2026-02,15.9
E0007,2026-03,16.5
E0008,2025-01,3.0
E0008,2025-02,7.0
E0008,2025-03,8.3
E0008,2025-04,6.4
E0008,2025-05,3.1
E0008,2025-06,6.1
E0008,2025-07,0.0
E0008,2025-08,6.2
E0008,2025-09,0.3
E0008,2025-10,4.8
E0008,2025-11,3.1
E0008,2025-12,4.9
E0008,2026-01,13.5
E0008,2026-02,17.6
E0008,2026-03,13.8
E0009,2025-01,1.2
E0009,2025-02,10.3
E0009,2025-03,11.1
E0009,2025-04,3.5
E0009,2025-05,2.0
E0009,2025-06,3.8
E0009,2025-07,10.4
E0009,2025-08,7.2
E0009,2025-09,6.6
E0009,2025-10,6.8
E0009,2025-11,4.8
E0009,2025-12,8.8
E0009,2026-01,19.7
E0009,2026-02,17.3
E0009,2026-03,18.7
E0010,2025-01,13.4
E0010,2025-02,3.7
E0010,2025-03,9.8
E0010,2025-04,7.1
E0010,2025-05,7.0
E0010,2025-06,12.8
E0010,2025-07,11.3
E0010,2025-08,7.3
E0010,2025-09,11.0
E0010,2025-10,0.4
E0010,2025-11,0.0
E0010,2025-12,4.5
E0010,2026-01,15.3
E0010,2026-02,20.7
E0010,2026-03,14.5
E0011,2025-01,9.7
E0011,2025-02,12.7
E0011,2025-03,18.3
E0011,2025-04,12.9
E0011,2025-05,17.5
E0011,2025-06,17.4
E0011,2025-07,6.7
E0011,2025-08,16.6
E0011,2025-09,18.5
E0011,2025-10,18.7
E0011,2025-11,13.4
E0011,2025-12,14.2
E0011,2026-01,17.4
E0011,2026-02,17.4
E0011,2026-03,17.4
E0012,2025-01,15.1
E0012,2025-02,14.2
E0012,2025-03,10.4
E0012,2025-04,11.3
E0012,2025-05,17.0
E0012,2025-06,14.0
E0012,2025-07,15.0
E0012,2025-08,18.9
E0012,2025-09,14.9
E0012,2025-10,10.0
E0012,2025-11,23.4
E0012,2025-12,13.4
E0012,2026-01,14.6
E0012,2026-02,15.7
E0012,2026-03,14.3
E0013,2025-01,11.0
E0013,2025-02,13.6
E0013,2025-03,11.9
E0013,2025-04,12.2
E0013,2025-05,10.2
E0013,2025-06,16.4
E0013,2025-07,16.9
E0013,2025-08,19.8
E0013,2025-09,20.3
E0013,2025-10,4.6
E0013,2025-11,14.9
E0013,2025-12,7.7
E0013,2026-01,15.4
E0013,2026-02,12.4
E0013,2026-03,11.5
E0014,2025-01,17.1
E0014,2025-02,13.3
E0014,2025-03,9.1
E0014,2025-04,7.4
E0014,2025-05,9.4
E0014,2025-06,8.8
E0014,2025-07,17.3
E0014,2025-08,12.3
E0014,2025-09,8.0
E0014,2025-10,13.7
E0014,2025-11,13.6
E0014,2025-12,11.5
E0014,2026-01,13.4
E0014,2026-02,14.0
E0014,2026-03,12.8
E0015,2025-01,35.7
E0015,2025-02,33.0
E0015,2025-03,32.7
E0015,2025-04,23.4
E0015,2025-05,29.4
E0015,2025-06,33.4
E0015,2025-07,32.3
E0015,2025-08,31.2
E0015,2025-09,33.6
E0015,2025-10,32.6
E0015,2025-11,34.1
E0015,2025-12,32.4
E0015,2026-01,14.9
E0015,2026-02,16.4
E0015,2026-03,13.4
E0016,2025-01,3.1
E0016,2025-02,2.9
E0016,2025-03,0.0
E0016,2025-04,0.3
E0016,2025-05,0.7
E0016,2025-06,0.0
E0016,2025-07,0.0
E0016,2025-08,2.4
E0016,2025-09,2.6
E0016,2025-10,0.3
E0016,2025-11,1.8
E0016,2025-12,3.0
E0016,2026-01,21.9
E0016,2026-02,12.2
E0016,2026-03,13.9
E0017,2025-01,31.8
E0017,2025-02,32.3
E0017,2025-03,24.9
E0017,2025-04,36.7
E0017,2025-05,31.4
E0017,2025-06,33.8
E0017,2025-07,32.4
E0017,2025-08,26.0
E0017,2025-09,27.3
E0017,2025-10,28.0
E0017,2025-11,34.7
E0017,2025-12,26.2
E0018,2025-01,10.0
E0018,2025-02,16.8
E0018,2025-03,22.0
E0018,2025-04,11.7
E0018,2025-05,20.8
E0018,2025-06,18.0
E0018,2025-07,13.4
E0018,2025-08,9.7
E0018,2025-09,13.7
E0018,2025-10,11.9
E0018,2025-11,19.8
E0018,2025-12,14.9
E0018,2026-01,23.4
E0018,2026-02,16.8
E0018,2026-03,17.7
E0019,2025-01,63.9
E0019,2025-02,64.0
E0019,2025-03,59.4
E0019,2025-04,62.3
E0019,2025-05,66.0
E0019,2025-06,61.7
E0019,2025-07,60.9
E0019,2025-08,64.8
E0019,2025-09,56.8
E0019,2025-10,53.2
E0019,2025-11,63.2
E0019,2025-12,66.1
E0019,2026-01,16.4
E0019,2026-02,17.1
E0019,2026-03,14.7
E0020,2025-01,29.3
E0020,2025-02,22.9
E0020,2025-03,25.4
E0020,2025-04,27.3
E0020,2025-05,22.2
E0020,2025-06,19.5
E0020,2025-07,19.1
E0020,2025-08,20.9
E0020,2025-09,27.9
E0020,2025-10,25.8
E0020,2025-11,21.2
E0020,2025-12,27.1
E0020,2026-01,18.1
E0020,2026-02,20.1
E0020,2026-03,13.9
E0021,2025-01,9.9
E0021,2025-02,7.2
E0021,2025-03,8.8
E0021,2025-04,9.7
E0021,2025-05,8.6
E0021,2025-06,15.0
E0021,2025-07,7.5
E0021,2025-08,2.5
E0021,2025-09,9.3
E0021,2025-10,6.9
E0021,2025-11,2.7
E0021,2025-12,10.7
E0021,2026-01,21.3
E0021,2026-02,14.4
E0021,2026-03,17.5
E0022,2025-01,0.0
E0022,2025-02,5.2
E0022,2025-03,0.0
E0022,2025-04,4.1
E0022,2025-05,6.3
E0022,2025-06,7.0
E0022,2025-07,7.3
E0022,2025-08,0.0
E0022,2025-09,4.8
E0022,2025-10,1.2
E0022,2025-11,1.0
E0022,2025-12,3.6
E0022,2026-01,13.6
E0022,2026-02,12.9
E0022,2026-03,16.0
E0023,2025-01,34.9
E0023,2025-02,32.4
E0023,2025-03,37.9
E0023,2025-04,38.8
E0023,2025-05,33.1
E0023,2025-06,35.8
E0023,2025-07,35.9
E0023,2025-08,36.0
E0023,2025-09,36.3
E0023,2025-10,37.7
E0023,2025-11,41.2
E0023,2025-12,37.1
E0023,2026-01,16.0
E0023,2026-02,15.3
E0023,2026-03,16.0
E0024,2025-01,30.5
E0024,2025-02,32.5
E0024,2025-03,28.3
