사번,부서,직급,입사일,재직상태,채용경로
E0001,인사,사원,2017-06-05,재직,공채
E0002,영업,과장,2024-07-30,재직,수시
E0003,영업,대리,2024-02-22,퇴사,수시
E0004,재무,대리,2015-04-22,재직,추천
E0005,재무,사원,2022-04-29,재직,추천
E0006,영업,사원,2017-08-06,재직,헤드헌팅
E0007,영업,사원,2022-08-29,재직,공채
E0008,CS,과장,2018-11-22,재직,공채
E0009,영업,사원,2015-02-21,재직,공채
E0010,생산,부장,2020-11-01,재직,공채
E0011,영업,사원,2025-02-11,재직,공채
E0012,인사,대리,2022-07-22,재직,공채
E0013,인사,대리,2022-08-10,재직,공채
E0014,CS,사원,2017-01-10,재직,공채
E0015,개발,과장,2022-11-16,재직,추천
E0016,재무,차장,2016-02-29,재직,수시
E0017,개발,사원,2017-11-10,퇴사,수시
E0018,영업,과장,2019-09-08,재직,공채
E0019,재무,과장,2015-02-25,재직,공채
E0020,영업,부장,2024-03-16,재직,공채
E0021,재무,대리,2022-10-30,재직,공채
E0022,CS,사원,2017-03-17,재직,공채
E0023,생산,대리,2023-05-15,재직,공채
E0024,생산,대리,2016-10-16,재직,공채
E0025,생산,과장,2017-10-03,재직,공채
E0026,CS,차장,2017-06-26,재직,공채
E0027,개발,사원,2024-06-06,재직,공채
E0028,재무,과장,2025-06-06,재직,공채
E0029,개발,차장,2015-01-08,재직,추천
E0030,재무,차장,2020-12-11,재직,수시
E0031,영업,과장,2019-11-17,재직,수시
E0032,생산,과장,2018-01-29,재직,헤드헌팅
E0033,생산,사원,2017-09-16,재직,공채
E0034,재무,차장,2022-11-22,재직,공채
E0035,개발,대리,2023-08-31,퇴사,공채
E0036,개발,사원,2024-06-18,재직,공채
E0037,인사,대리,2022-09-14,재직,수시
E0038,생산,과장,2018-01-08,재직,수시
E0039,생산,대리,2024-03-23,퇴사,수시
E0040,개발,과장,2020-09-09,재직,추천
E0041,생산,대리,2016-01-13,재직,헤드헌팅
E0042,개발,사원,2021-07-05,재직,공채
E0043,인사,사원,2020-05-03,재직,공채
E0044,재무,대리,2018-08-15,재직,공채
E0045,재무,사원,2015-10-09,재직,공채
E0046,인사,대리,2017-11-01,퇴사,공채
E0047,생산,사원,2016-09-30,재직,공채
E0048,영업,차장,2022-12-29,재직,수시
E0049,생산,대리,2022-07-09,재직,수시
E0050,개발,대리,2015-03-10,재직,추천
E0051,CS,사원,2022-11-28,퇴사,헤드헌팅
E0052,영업,사원,2024-11-03,재직,공채
E0053,인사,과장,2020-01-13,재직,공채
E0054,재무,과장,2020-09-01,재직,공채
E0055,재무,사원,2015-12-03,재직,공채
E0056,생산,사원,2021-10-10,재직,공채
E0057,재무,차장,2022-12-02,재직,공채
E0058,생산,사원,2021-03-06,재직,공채
E0059,개발,사원,2015-08-03,재직,공채
E0060,개발,사원,2016-09-26,재직,추천
E0061,인사,과장,2016-02-27,재직,헤드헌팅
E0062,CS,과장,2020-10-21,재직,공채
E0063,개발,대리,2025-05-21,퇴사,수시
E0064,생산,사원,2022-11-10,재직,수시
E0065,재무,대리,2017-02-24,재직,헤드헌팅
E0066,개발,사원,2025-01-25,재직,공채
E0067,개발,대리,2017-07-26,재직,공채
E0068,생산,사원,2019-11-07,재직,공채
E0069,개발,사원,2019-08-17,재직,공채
E0070,재무,과장,2018-07-21,재직,공채
E0071,CS,대리,2025-05-24,재직,수시
E0072,재무,과장,2025-02-28,재직,공채
E0073,CS,대리,2018-06-10,재직,공채
E0074,재무,부장,2023-07-10,재직,공채
E0075,재무,부장,2021-05-25,재직,공채
E0076,영업,사원,2022-02-15,재직,공채
E0077,재무,대리,2024-02-24,재직,추천
E0078,영업,과장,2016-03-14,재직,헤드헌팅
E0079,재무,과장,2018-08-30,재직,공채
E0080,재무,차장,2019-03-14,재직,공채
E0081,생산,과장,2018-11-18,재직,공채
E0082,CS,대리,2020-09-06,재직,수시
E0083,재무,대리,2015-09-27,재직,수시
E0084,개발,대리,2019-01-30,재직,공채
E0085,재무,차장,2020-04-29,재직,공채
E0086,인사,부장,2020-10-22,재직,공채
E0087,생산,사원,2019-08-08,재직,수시
E0088,생산,대리,2016-11-04,재직,공채
E0089,재무,대리,2021-04-12,재직,공채
E0090,인사,대리,2016-02-14,재직,공채
E0091,CS,차장,2021-12-20,퇴사,공채
E0092,재무,대리,2018-12-12,재직,공채
E0093,개발,사원,2023-05-18,재직,공채
E0094,생산,대리,2021-03-08,퇴사,헤드헌팅
E0095,생산,대리,2017-03-02,재직,공채
E0096,CS,대리,2018-05-31,재직,추천
E0097,인사,사원,2015-12-26,재직,수시
E0098,영업,사원,2016-08-04,재직,수시
E0099,CS,대리,2017-11-09,재직,공채
E0100,인사,과장,2016-02-27,재직,공채
E0101,개발,대리,2015-05-01,퇴사,공채
E0102,인사,과장,2021-01-29,재직,공채
E0103,CS,차장,2015-02-03,재직,공채
E0104,영업,차장,2023-02-13,재직,수시
E0105,개발,대리,2015-03-12,퇴사,공채
E0106,개발,사원,2016-06-28,재직,공채
E0107,영업,사원,2022-09-22,재직,공채
