사번,퇴사일,퇴사사유
E0003,2025-04-12,이직
E0017,2024-02-08,이직
E0035,2025-06-06,건강
E0039,2025-10-16,개인사유
E0046,2022-04-25,개인사유
E0051,2024-03-24,개인사유
E0063,2025-12-10,이직
E0091,2023-09-13,이직(경쟁사)
E0094,2022-06-09,건강
E0101,2021-06-20,개인사유
E0105,2016-03-08,이직(경쟁사)
E0111,2017-04-14,계약만료
E0114,2019-07-29,이직
E0122,2023-01-10,계약만료
E0129,2025-08-09,이직
E0140,2024-01-24,건강
E0144,2019-10-31,계약만료
E0160,2019-03-13,건강
E0166,2024-01-30,건강
E0182,2025-05-19,건강
E0187,2025-10-16,계약만료
E0190,2021-09-27,계약만료
E0200,2021-11-10,계약만료
E0210,2025-01-23,개인사유
E0211,2022-05-18,건강
E0238,2016-09-21,개인사유
E0239,2025-01-09,이직
E0251,2021-09-25,계약만료
E0255,2024-02-15,이직(경쟁사)
E0289,2019-06-15,이직
E0300,2024-08-30,건강
