사번,분기,평가등급
E0001,2025Q1,B
E0001,2025Q2,B
E0001,2025Q3,S
E0001,2025Q4,A
E0002,2025Q1,B
E0002,2025Q2,S
E0002,2025Q3,B
E0002,2025Q4,D
E0003,2025Q1,C
E0003,2025Q2,C
E0003,2025Q3,B
E0003,2025Q4,S
E0004,2025Q1,C
E0004,2025Q2,C
E0004,2025Q3,B
E0004,2025Q4,C
E0005,2025Q1,D
E0005,2025Q2,A
E0005,2025Q3,C
E0005,2025Q4,D
E0006,2025Q1,B
E0006,2025Q2,C
E0006,2025Q3,C
E0006,2025Q4,B
E0007,2025Q1,B
E0007,2025Q2,B
E0007,2025Q3,D
E0007,2025Q4,B
E0008,2025Q1,B
E0008,2025Q2,D
E0008,2025Q3,A
E0008,2025Q4,C
E0009,2025Q1,S
E0009,2025Q2,S
E0009,2025Q3,B
E0009,2025Q4,B
E0010,2025Q1,B
E0010,2025Q2,D
E0010,2025Q3,A
E0010,2025Q4,S
E0011,2025Q1,D
E0011,2025Q2,D
E0011,2025Q3,B
E0011,2025Q4,A
E0012,2025Q1,A
E0012,2025Q2,B
E0012,2025Q3,S
E0012,2025Q4,A
E0013,2025Q1,A
E0013,2025Q2,A
E0013,2025Q3,S
E0013,2025Q4,B
E0014,2025Q1,C
E0014,2025Q2,B
E0014,2025Q3,D
E0014,2025Q4,D
E0015,2025Q1,S
E0015,2025Q2,S
E0015,2025Q3,D
E0015,2025Q4,S
E0016,2025Q1,C
E0016,2025Q2,B
E0016,2025Q3,B
E0016,2025Q4,A
E0017,2025Q1,D
E0017,2025Q2,D
E0017,2025Q3,D
E0017,2025Q4,A
E0018,2025Q1,D
E0018,2025Q2,B
E0018,2025Q3,S
E0018,2025Q4,B
E0019,2025Q1,S
E0019,2025Q2,B
E0019,2025Q3,D
E0019,2025Q4,B
E0020,2025Q1,B
E0020,2025Q2,A
E0020,2025Q3,D
E0020,2025Q4,B
E0021,2025Q1,C
E0021,2025Q2,B
E0021,2025Q3,D
E0021,2025Q4,D
E0022,2025Q1,S
E0022,2025Q2,B
E0022,2025Q3,D
E0022,2025Q4,D
